piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1977.44,1985.0,362.82,0.0,2.56,5.45,1
1975.38,1986.0,459.79,0.031,2.66,4.296,1
1975.83,1992.0,544.08,0.0,2.74,3.632,0
1975.14,1990.0,576.43,0.125,2.76,3.426,0
1980.4,1989.0,1541.71,0.172,3.19,1.285,1
1977.88,1992.0,526.39,0.125,2.72,3.757,0
1970.03,1973.0,487.66,0.031,2.69,4.04,1
1979.94,1991.0,484.46,0.062,2.69,4.087,0
1975.76,1985.0,742.32,0.047,2.87,2.662,1
1977.07,1992.0,1210.12,0.125,3.08,1.634,2
1980.21,1986.0,379.34,0.0,2.58,5.22,2
1976.42,1986.0,378.64,0.0,2.58,5.22,1
1984.96,2017.0,1031.56,0.125,3.01,1.924,1
1980.08,2003.0,1465.33,0.188,3.17,1.351,1
1986.0,1989.0,491.93,0.0,2.69,4.037,2
1981.37,1991.0,1493.89,0.172,3.17,1.326,1
1985.41,1992.0,421.39,0.0,2.62,4.712,2
1977.07,1992.0,521.67,0.094,2.72,3.79,0
1975.92,1984.0,297.46,0.0,2.47,6.643,1
1974.83,1992.0,403.71,0.0,2.61,4.892,0
1973.77,1984.0,395.83,0.0,2.6,4.986,2
1976.21,1990.0,521.29,0.062,2.72,3.791,0
1975.49,1990.0,414.8,0.0,2.62,4.763,0
1975.54,1989.0,487.81,0.188,2.69,4.05,0
1978.86,1986.0,389.73,0.0,2.59,5.078,1
1980.67,1994.0,520.11,0.172,2.72,3.808,0
1976.09,1991.0,576.54,0.078,2.76,3.427,0
1980.13,1991.0,389.81,0.188,2.59,5.08,0
1981.59,1992.0,526.6,0.125,2.72,3.763,0
1982.71,1991.0,530.65,0.047,2.72,3.736,0
1985.28,1994.0,447.61,0.188,2.65,4.435,0
1984.66,2007.0,483.61,0.188,2.68,4.104,0
1984.35,1989.0,402.41,0.0,2.6,4.931,2
1976.42,1992.0,485.12,0.062,2.69,4.074,0
1987.11,2000.0,1602.91,0.297,3.2,1.24,2
1980.35,1987.0,358.21,0.0,2.55,5.529,1
1978.03,1992.0,453.78,0.172,2.66,4.359,0
1985.17,1992.0,394.09,0.0,2.6,5.037,2
1975.3,1978.0,395.58,0.031,2.6,4.993,2
1979.38,2007.0,1031.89,0.234,3.01,1.918,1
1969.66,1973.0,372.97,0.0,2.57,5.281,1
1978.27,1992.0,492.55,0.062,2.69,4.016,0
1983.89,1992.0,439.66,0.219,2.64,4.512,0
1993.19,2008.0,358.76,0.125,2.55,5.556,2
1975.96,2000.0,495.49,0.062,2.7,3.988,0
1975.84,1987.0,371.48,0.0,2.57,5.319,1
1975.04,1989.0,491.17,0.094,2.69,4.021,0
1972.55,1991.0,741.5,0.438,2.87,2.66,2
1981.52,2002.0,409.14,0.062,2.61,4.843,0
1987.94,1992.0,413.48,0.0,2.62,4.808,2
1975.5,1990.0,584.98,0.219,2.77,3.377,0
1986.76,1992.0,375.13,0.0,2.57,5.296,2
1969.44,2003.0,1444.94,0.172,3.16,1.363,1
1982.73,1992.0,402.2,0.094,2.6,4.93,0
1974.49,1990.0,364.06,0.031,2.56,5.424,0
1980.71,1987.0,463.65,0.0,2.67,4.272,1
1978.17,1991.0,727.22,0.078,2.86,2.72,2
1987.43,2004.0,1289.84,0.172,3.11,1.541,2
