piezo_rms,piezo_peak,mic_rms,mic_zcr,mic_energy,ratio,label
1986.07,1991.0,581.8,0.172,2.76,3.414,1
1977.91,1991.0,564.72,0.219,2.75,3.502,0
1974.78,1991.0,384.76,0.031,2.59,5.132,0
1995.24,2004.0,1416.72,0.156,3.15,1.408,3
1980.12,1991.0,1564.83,0.109,3.19,1.265,1
1973.89,1986.0,1038.89,0.297,3.02,1.9,3
1943.76,1959.0,1601.63,0.031,3.2,1.214,1
1977.76,1988.0,703.83,0.391,2.85,2.81,3
1984.0,1992.0,374.45,0.25,2.57,5.298,0
1983.32,1991.0,1392.43,0.047,3.14,1.424,2
1983.29,1991.0,1532.6,0.047,3.19,1.294,2
1975.1,1987.0,823.37,0.391,2.92,2.399,2
1980.77,2000.0,504.86,0.344,2.7,3.923,0
1969.32,1984.0,1569.12,0.156,3.2,1.255,3
1976.41,1990.0,1241.6,0.469,3.09,1.592,3
1971.24,1986.0,1026.75,0.312,3.01,1.92,2
1969.0,1989.0,1660.39,0.078,3.22,1.186,1
1975.79,1988.0,1001.68,0.266,3.0,1.972,3
1994.35,2004.0,1225.63,0.078,3.09,1.627,2
1990.33,2008.0,1615.62,0.094,3.21,1.232,1
1980.76,1988.0,292.66,0.125,2.47,6.768,1
1966.65,1976.0,798.23,0.078,2.9,2.464,1
1992.15,2005.0,1581.68,0.266,3.2,1.26,3
1987.41,2000.0,1461.21,0.078,3.16,1.36,2
1968.24,1976.0,1506.65,0.281,3.18,1.306,3
1987.54,2000.0,397.97,0.0,2.6,4.994,1
1980.43,1990.0,775.52,0.062,2.89,2.554,1
1975.44,1992.0,502.6,0.344,2.7,3.93,0
1976.78,1986.0,476.86,0.0,2.68,4.145,2
1974.14,1989.0,407.86,0.0,2.61,4.84,0
1975.63,1992.0,585.7,0.031,2.77,3.373,0
1973.72,1992.0,530.87,0.344,2.72,3.718,0
1975.96,1991.0,519.0,0.281,2.72,3.807,0
1991.26,2004.0,1621.5,0.031,3.21,1.228,1
1975.38,1992.0,535.55,0.297,2.73,3.688,0
1974.56,1993.0,585.71,0.125,2.77,3.371,0
1966.91,1976.0,973.93,0.031,2.99,2.02,1
1983.97,1992.0,537.33,0.188,2.73,3.692,0
1984.67,1992.0,477.66,0.25,2.68,4.155,0
1978.57,1990.0,1655.61,0.078,3.22,1.195,1
1982.18,2000.0,609.34,0.25,2.78,3.253,0
1978.51,1990.0,1620.36,0.078,3.21,1.221,1
1975.58,1988.0,1200.37,0.281,3.08,1.646,3
1975.82,1988.0,468.7,0.062,2.67,4.216,3
1979.23,1988.0,512.53,0.172,2.71,3.862,2
1983.49,1992.0,881.13,0.297,2.95,2.251,3
1974.99,1992.0,410.95,0.0,2.61,4.806,0
1979.91,1989.0,1415.38,0.062,3.15,1.399,2
1975.07,1988.0,1519.36,0.188,3.18,1.3,3
1977.02,1992.0,568.32,0.281,2.75,3.479,0
1977.21,2001.0,365.76,0.0,2.56,5.406,0
1981.46,1991.0,1473.29,0.203,3.17,1.345,2
1979.7,1992.0,502.33,0.156,2.7,3.941,0
1979.41,1989.0,1415.14,0.031,3.15,1.399,2
1986.02,1992.0,1590.32,0.188,3.2,1.249,3
1993.6,2003.0,1646.5,0.031,3.22,1.211,1
1973.36,1985.0,425.59,0.094,2.63,4.637,1
1974.86,1992.0,458.61,0.156,2.66,4.306,0
1988.96,2002.0,728.31,0.469,2.86,2.731,3
1977.55,1991.0,1458.32,0.078,3.16,1.356,2
1978.04,1989.0,1179.86,0.109,3.07,1.677,1
1975.77,1988.0,1552.15,0.156,3.19,1.273,2
1977.16,1993.0,518.51,0.234,2.71,3.813,0
1976.79,1992.0,487.49,0.109,2.69,4.055,0
1977.13,1988.0,727.94,0.375,2.86,2.716,3
1989.35,1994.0,407.15,0.0,2.61,4.886,1
1975.17,1993.0,395.11,0.0,2.6,4.999,0
1981.23,2000.0,549.98,0.281,2.74,3.602,0
1983.24,1993.0,521.94,0.25,2.72,3.8,0
1978.69,1989.0,1588.75,0.062,3.2,1.245,2
1978.6,1989.0,1406.2,0.031,3.15,1.407,2
1977.05,1989.0,669.63,0.125,2.83,2.952,2
1974.63,1986.0,580.59,0.203,2.76,3.401,2
